"";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"S13";"S14";"S15";"S16";"S17";"S18";"S19";"S20";"S21";"S22";"S23";"S24";"S25";"S26";"S27";"S28";"S29";"S30";"S31";"S32";"S33";"S34";"S35";"S36";"S37";"S38";"S39";"S40";"S41";"S42";"S43";"S44";"S45";"S46";"S47";"S48";"S49";"S50";"S51";"S52";"S53";"S54";"S55";"S56";"S57";"S58";"S59";"S60";"S61";"S62";"S63";"S64";"S65";"S66";"S67";"S68";"S69";"S70";"S71";"S72";"S73";"S74";"S75";"S76";"S77";"S78";"S79";"S80";"S81";"S82";"S83";"S84";"S85";"S86";"S87";"S88";"S89";"S90";"S91";"S92";"S93";"S94";"S95";"S96";"S97";"S98";"S99";"S100";"S101";"S102";"S103";"S104";"S105";"S106";"S107";"S108";"S109";"S110";"S111";"S112";"S113";"S114";"S115";"S116";"S117";"S118";"S119";"S120";"S121";"S122";"S123";"S124";"S125";"S126";"S127";"S128";"S129";"S130";"S131";"S132";"S133";"S134";"S135";"S136";"S137";"S138";"S139";"S140";"S141";"S142";"S143";"S144";"S145";"S146";"S147";"S148";"S149";"S150";"S151";"S152";"S153";"S154";"S155";"S156";"S157";"S158";"S159";"S160";"S161";"S162";"S163";"S164";"S165";"S166";"S167";"S168";"S169";"S170";"S171";"S172";"S173";"S174";"v_wahr"
"1";0,5519;0,5401;0,5358;0,5297;0,5256;0,5233;0,5241;0,5104;0,5151;0,5118;0,5174;0,5067;0,5196;0,51485;0,5101;0,50795;0,5058;0,5002;0,5075;0,5004;0,5089;0,5013;0,4782;0,4881;0,5161;0,4949;0,5114;0,5114;0,4908;0,4816;0,4869;0,4577;0,476;0,4727;0,5043;0,5004;0,4765;0,4735;0,4512;0,4753;0,4293;0,48;0,4793;0,4786;0,4475;0,4554;0,4683;0,4731;0,4231;0,4212;0,4533;0,4188;0,4143;0,3937;0,3901;0,391514285714286;0,392928571428571;0,394342857142857;0,395757142857143;0,397171428571429;0,398585714285714;0,4;0,399;0,398;0,397;0,396;0,395;0,394;0,393;0,392;0,391;0,39;0,386;0,382;0,378;0,374;0,37;0,366;0,362;0,358;0,354;0,35;0,348;0,346;0,344;0,342;0,34;0,338;0,336;0,334;0,332;0,33;0,328;0,326;0,324;0,322;0,32;0,318;0,316;0,314;0,312;0,31;0,301826732673267;0,293653465346535;0,285480198019802;0,277306930693069;0,269133663366337;0,260960396039604;0,252787128712871;0,244613861386139;0,236440594059406;0,228267326732673;0,220094059405941;0,211920792079208;0,203747524752475;0,195574257425742;0,18740099009901;0,179227722772277;0,171054455445544;0,162881188118812;0,154707920792079;0,146534653465346;0,138361386138614;0,130188118811881;0,122014851485148;0,113841584158416;0,105668316831683;0,0974950495049504;0,0893217821782177;0,081148514851485;0,0729752475247524;0,0648019801980197;0,056628712871287;0,0484554455445544;0,0402821782178217;0,032108910891089;0,0239356435643564;0,0157623762376237;0,00758910891089102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,21
"2";0,5005;0,517;0,5382;0,51585;0,4935;0,4967;0,4928;0,4728;0,4638;0,4703;0,45575;0,4412;0,4543;0,4551;0,4621;0,4529;0,4358;0,4298;0,4297;0,4234;0,4181;0,4139;0,4228;0,4216;0,3997;0,404;0,394733333333333;0,385466666666667;0,3762;0,3868;0,3839;0,377;0,392;0,3813;0,3699;0,3911;0,3781;0,375066666666667;0,372033333333333;0,369;0,367681818181818;0,366363636363636;0,365045454545455;0,363727272727273;0,362409090909091;0,361090909090909;0,359772727272727;0,358454545454545;0,357136363636364;0,355818181818182;0,3545;0,353181818181818;0,351863636363636;0,350545454545455;0,349227272727273;0,347909090909091;0,346590909090909;0,345272727272727;0,343954545454545;0,342636363636364;0,341318181818182;0,34;0,332;0,324;0,316;0,308;0,3;0,292;0,284;0,276;0,268;0,26;0,259;0,258;0,257;0,256;0,255;0,254;0,253;0,252;0,251;0,25;0,24373950617284;0,237479012345679;0,231218518518519;0,224958024691358;0,218697530864198;0,212437037037037;0,206176543209877;0,199916049382716;0,193655555555556;0,187395061728395;0,181134567901235;0,174874074074074;0,168613580246914;0,162353086419753;0,156092592592593;0,149832098765432;0,143571604938272;0,137311111111111;0,131050617283951;0,12479012345679;0,11852962962963;0,112269135802469;0,106008641975309;0,0997481481481483;0,0934876543209878;0,0872271604938273;0,0809666666666668;0,0747061728395063;0,0684456790123458;0,0621851851851853;0,0559246913580248;0,0496641975308643;0,0434037037037038;0,0371432098765433;0,0308827160493828;0,0246222222222223;0,0183617283950618;0,0121012345679013;0,00584074074074083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,98
"3";0,4839;0,483;0,4811;0,4875;0,4807;0,4787;0,4732;0,4779;0,4741;0,4646;0,4732;0,4773;0,4726;0,4949;0,4626;0,476;0,4703;0,46935;0,4684;0,4851;0,4708;0,4647;0,461;0,4604;0,4583;0,4562;0,4706;0,4616;0,4489;0,4611;0,4872;0,4656;0,4522;0,4637;0,464;0,4569;0,4594;0,44955;0,4397;0,4314;0,4464;0,4285;0,4686;0,4413;0,4279;0,4332;0,4339;0,4204;0,4367;0,4501;0,4581;0,4484;0,4291;0,4364;0,4233;0,441;0,439;0,4314;0,4328;0,3954;0,416;0,4337;0,4318;0,4316;0,4314;0,4312;0,431;0,4308;0,4306;0,4304;0,4302;0,43;0,426;0,422;0,418;0,414;0,41;0,406;0,402;0,398;0,394;0,39;0,387;0,384;0,381;0,378;0,375;0,372;0,369;0,366;0,363;0,36;0,357;0,354;0,351;0,348;0,345;0,342;0,339;0,336;0,333;0,33;0,32240297029703;0,314805940594059;0,307208910891089;0,299611881188119;0,292014851485149;0,284417821782178;0,276820792079208;0,269223762376238;0,261626732673268;0,254029702970297;0,246432673267327;0,238835643564357;0,231238613861386;0,223641584158416;0,216044554455446;0,208447524752476;0,200850495049505;0,193253465346535;0,185656435643565;0,178059405940594;0,170462376237624;0,162865346534654;0,155268316831683;0,147671287128713;0,140074257425743;0,132477227722773;0,124880198019802;0,117283168316832;0,109686138613862;0,102089108910891;0,094492079207921;0,0868950495049507;0,0792980198019805;0,0717009900990102;0,0641039603960399;0,0565069306930696;0,0489099009900993;0,041312871287129;0,0337158415841587;0,0261188118811884;0,0185217821782181;0,0109247524752478;0,00332772277227747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,23
"4";0,5604;0,5534;0,5533;0,5532;0,5509;0,554;0,5571;0,5602;0,5201;0,5154;0,5102;0,535;0,5059;0,4866;0,4967;0,5182;0,5032;0,5244;0,4796;0,4928;0,4763;0,4757;0,4881;0,4854;0,4544;0,4726;0,4692;0,4669;0,4504;0,4575;0,4415;0,4641;0,4683;0,4527;0,4634;0,4641;0,4826;0,4509;0,4449;0,4384;0,4639;0,4452;0,43835;0,4315;0,43755;0,4436;0,4415;0,3878;0,4252;0,395;0,409;0,4035;0,3974;0,400466666666667;0,403533333333333;0,4066;0,4212;0,42296;0,42472;0,42648;0,42824;0,43;0,3897;0,391955555555556;0,394211111111111;0,396466666666667;0,398722222222222;0,400977777777778;0,403233333333333;0,405488888888889;0,407744444444444;0,41;0,405;0,4;0,395;0,39;0,385;0,38;0,375;0,37;0,365;0,36;0,3575;0,355;0,3525;0,35;0,3475;0,345;0,3425;0,34;0,3375;0,335;0,3325;0,33;0,3275;0,325;0,3225;0,32;0,3175;0,315;0,3125;0,31;0,300859405940594;0,291718811881188;0,282578217821782;0,273437623762376;0,26429702970297;0,255156435643564;0,246015841584158;0,236875247524753;0,227734653465347;0,218594059405941;0,209453465346535;0,200312871287129;0,191172277227723;0,182031683168317;0,172891089108911;0,163750495049505;0,154609900990099;0,145469306930693;0,136328712871287;0,127188118811881;0,118047524752475;0,108906930693069;0,0997663366336633;0,0906257425742573;0,0814851485148514;0,0723445544554454;0,0632039603960395;0,0540633663366336;0,0449227722772276;0,0357821782178217;0,0266415841584157;0,0175009900990098;0,00836039603960385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,16
"5";0,4677;0,4498;0,4744;0,4689;0,4833;0,4573;0,4414;0,4471;0,4478;0,4379;0,4245;0,4364;0,4513;0,4447;0,4381;0,4024;0,4178;0,4152;0,4216;0,42405;0,4265;0,4182;0,4028;0,4049;0,4132;0,3915;0,3817;0,3758;0,372383333333333;0,368966666666667;0,36555;0,362133333333333;0,358716666666667;0,3553;0,35355;0,3518;0,35005;0,3483;0,339164864864865;0,33002972972973;0,320894594594595;0,311759459459459;0,302624324324324;0,293489189189189;0,284354054054054;0,275218918918919;0,266083783783784;0,256948648648649;0,247813513513513;0,238678378378378;0,229543243243243;0,220408108108108;0,211272972972973;0,202137837837838;0,193002702702703;0,183867567567567;0,174732432432432;0,165597297297297;0,156462162162162;0,147327027027027;0,138191891891892;0,129056756756757;0,119921621621621;0,110786486486486;0,101651351351351;0,092516216216216;0,0833810810810809;0,0742459459459457;0,0651108108108106;0,0559756756756755;0,0468405405405403;0,0377054054054052;0,0285702702702701;0,0194351351351349;0,0102999999999998;0,00116486486486466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,25
"6";0,4625;0,4685;0,4671;0,4629;0,4662;0,4782;0,4572;0,4645;0,4737;0,4546;0,4461;0,4386;0,437;0,4397;0,4377;0,4372;0,4388;0,4348;0,4303;0,4321;0,425;0,4425;0,4448;0,4326;0,4256;0,4228;0,4224;0,4034;0,4097;0,4191;0,4146;0,4208;0,4216;0,4014;0,4165;0,4155;0,4095;0,4091;0,4063;0,4061;0,4093;0,4045;0,3892;0,4019;0,4146;0,4293;0,3955;0,3933;0,3967;0,366;0,4064;0,3714;0,398;0,3744;0,3718;0,3835;0,3925;0,3771;0,375325;0,37355;0,371775;0,37;0,368;0,366;0,364;0,362;0,36;0,358;0,356;0,354;0,352;0,35;0,349;0,348;0,347;0,346;0,345;0,344;0,343;0,342;0,341;0,34;0,332662962962963;0,325325925925926;0,317988888888889;0,310651851851852;0,303314814814815;0,295977777777778;0,288640740740741;0,281303703703704;0,273966666666667;0,26662962962963;0,259292592592593;0,251955555555556;0,244618518518519;0,237281481481482;0,229944444444445;0,222607407407408;0,215270370370371;0,207933333333333;0,200596296296296;0,193259259259259;0,185922222222222;0,178585185185185;0,171248148148148;0,163911111111111;0,156574074074074;0,149237037037037;0,1419;0,134562962962963;0,127225925925926;0,119888888888889;0,112551851851852;0,105214814814815;0,097877777777778;0,090540740740741;0,0832037037037039;0,0758666666666669;0,0685296296296299;0,0611925925925928;0,0538555555555558;0,0465185185185188;0,0391814814814817;0,0318444444444447;0,0245074074074077;0,0171703703703706;0,00983333333333358;0,00249629629629655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,38
"7";0,5855;0,57725;0,569;0,5597;0,5504;0,56385;0,5773;0,5566;0,5359;0,5378;0,5362;0,5205;0,5248;0,521;0,601;0,5002;0,5149;0,5071;0,5625;0,5081;0,5016;0,5086;0,5119;0,5152;0,49315;0,4711;0,5275;0,5051;0,4827;0,4603;0,4703;0,4691;0,4769;0,4517;0,4722;0,4742;0,459;0,4531;0,4786;0,4566;0,4534;0,4502;0,447;0,4438;0,4286;0,4134;0,408475;0,40355;0,398625;0,3937;0,3742;0,3786;0,3798;0,380933333333333;0,382066666666667;0,3832;0,384333333333333;0,385466666666667;0,3866;0,387733333333333;0,388866666666667;0,39;0,388;0,386;0,384;0,382;0,38;0,378;0,376;0,374;0,372;0,37;0,364;0,358;0,352;0,346;0,34;0,334;0,328;0,322;0,316;0,31;0,304;0,298;0,292;0,286;0,28;0,274;0,268;0,262;0,256;0,25;0,238954945054945;0,22790989010989;0,216864835164835;0,20581978021978;0,194774725274725;0,18372967032967;0,172684615384615;0,16163956043956;0,150594505494505;0,139549450549451;0,128504395604396;0,117459340659341;0,106414285714286;0,0953692307692307;0,0843241758241758;0,0732791208791208;0,0622340659340659;0,0511890109890109;0,040143956043956;0,029098901098901;0,0180538461538461;0,00700879120879115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82
"8";0,6282;0,6304;0,6055;0,6019;0,5917;0,5831;0,5612;0,5708;0,5654;0,5476;0,5621;0,5504;0,5519;0,5398;0,538;0,5481;0,5537;0,5593;0,5391;0,5333;0,5149;0,5182;0,5183;0,5014;0,5205;0,5304;0,4979;0,5103;0,5026;0,5295;0,5145;0,5138;0,5211;0,4924;0,4934;0,4875;0,5116;0,4912;0,4805;0,472;0,4635;0,506;0,4796;0,4766;0,4716;0,4699;0,461;0,4674;0,4746;0,4818;0,4522;0,4633;0,46148;0,45966;0,45784;0,45602;0,4542;0,45136;0,44852;0,44568;0,44284;0,44;0,437;0,434;0,431;0,428;0,425;0,422;0,419;0,416;0,413;0,41;0,409;0,408;0,407;0,406;0,405;0,404;0,403;0,402;0,401;0,4;0,397;0,394;0,391;0,388;0,385;0,382;0,379;0,376;0,373;0,37;0,36216043956044;0,354320879120879;0,346481318681319;0,338641758241758;0,330802197802198;0,322962637362638;0,315123076923077;0,307283516483517;0,299443956043956;0,291604395604396;0,283764835164835;0,275925274725275;0,268085714285715;0,260246153846154;0,252406593406594;0,244567032967033;0,236727472527473;0,228887912087913;0,221048351648352;0,213208791208792;0,205369230769231;0,197529670329671;0,18969010989011;0,18185054945055;0,174010989010989;0,166171428571429;0,158331868131869;0,150492307692308;0,142652747252748;0,134813186813187;0,126973626373627;0,119134065934066;0,111294505494506;0,103454945054945;0,095615384615385;0,0877758241758246;0,0799362637362642;0,0720967032967037;0,0642571428571433;0,0564175824175829;0,0485780219780224;0,040738461538462;0,0328989010989015;0,0250593406593411;0,0172197802197807;0,00938021978022023;0,00154065934065979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,66
"9";0,472;0,4605;0,4635;0,4579;0,4526;0,4547;0,4656;0,4542;0,4586;0,4554;0,4564;0,4496;0,4522;0,4542;0,4651;0,4494;0,4411;0,4617;0,4823;0,4805;0,4326;0,4648;0,4661;0,4674;0,4687;0,47;0,4457;0,4339;0,4371;0,4163;0,4089;0,4189;0,4188;0,4216;0,4209;0,4106;0,41925;0,4279;0,41275;0,3976;0,3998;0,402;0,4042;0,4064;0,4086;0,3995;0,4146;0,3929;0,393;0,4144;0,4122;0,3909;0,4105;0,4079;0,4012;0,3692;0,3734;0,3731;0,3753;0,3579;0,3564;0,37;0,3608;0,360711111111111;0,360622222222222;0,360533333333333;0,360444444444444;0,360355555555556;0,360266666666667;0,360177777777778;0,360088888888889;0,36;0,358;0,356;0,354;0,352;0,35;0,348;0,346;0,344;0,342;0,34;0,332543209876543;0,325086419753086;0,31762962962963;0,310172839506173;0,302716049382716;0,295259259259259;0,287802469135802;0,280345679012346;0,272888888888889;0,265432098765432;0,257975308641975;0,250518518518519;0,243061728395062;0,235604938271605;0,228148148148148;0,220691358024691;0,213234567901235;0,205777777777778;0,198320987654321;0,190864197530864;0,183407407407407;0,175950617283951;0,168493827160494;0,161037037037037;0,15358024691358;0,146123456790123;0,138666666666667;0,13120987654321;0,123753086419753;0,116296296296296;0,108839506172839;0,101382716049383;0,0939259259259259;0,0864691358024691;0,0790123456790123;0,0715555555555555;0,0640987654320987;0,056641975308642;0,0491851851851852;0,0417283950617284;0,0342716049382716;0,0268148148148148;0,019358024691358;0,0119012345679012;0,00444444444444443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,45
"10";0,5992;0,6308;0,6121;0,611;0,6224;0,602;0,5944;0,5849;0,6288;0,6024;0,6078;0,616;0,6388;0,6257;0,6142;0,6053;0,6259;0,6328;0,5879;0,6382;0,5898;0,6142;0,5659;0,5889;0,5281;0,5204;0,5481;0,5434;0,5089;0,5247;0,5275;0,5051;0,498;0,5043;0,5508;0,525066666666667;0,499333333333333;0,4736;0,4675;0,5312;0,527509090909091;0,523818181818182;0,520127272727273;0,516436363636364;0,512745454545455;0,509054545454545;0,505363636363636;0,501672727272727;0,497981818181818;0,494290909090909;0,4906;0,486909090909091;0,483218181818182;0,479527272727273;0,475836363636364;0,472145454545455;0,468454545454545;0,464763636363636;0,461072727272727;0,457381818181818;0,453690909090909;0,45;0,447;0,444;0,441;0,438;0,435;0,432;0,429;0,426;0,423;0,42;0,418;0,416;0,414;0,412;0,41;0,408;0,406;0,404;0,402;0,4;0,394;0,388;0,382;0,376;0,37;0,364;0,358;0,352;0,346;0,34;0,339;0,338;0,337;0,336;0,335;0,334;0,333;0,332;0,331;0,33;0,319190099009901;0,308380198019802;0,297570297029703;0,286760396039604;0,275950495049505;0,265140594059406;0,254330693069307;0,243520792079208;0,232710891089109;0,22190099009901;0,211091089108911;0,200281188118812;0,189471287128713;0,178661386138614;0,167851485148515;0,157041584158416;0,146231683168317;0,135421782178218;0,124611881188119;0,11380198019802;0,102992079207921;0,0921821782178219;0,0813722772277229;0,0705623762376239;0,0597524752475249;0,0489425742574258;0,0381326732673268;0,0273227722772278;0,0165128712871288;0,00570297029702979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,01
"11";0,5226;0,522;0,5214;0,5208;0,5575;0,5847;0,5413;0,5281;0,5174;0,5123;0,5065;0,5147;0,505;0,5061;0,5086;0,5046;0,4935;0,5193;0,4988;0,4877;0,5098;0,4819;0,4947;0,4892;0,4736;0,4654;0,4634;0,46995;0,4765;0,4669;0,4648;0,468;0,4949;0,4664;0,4756;0,4496;0,4424;0,4328;0,4442;0,4444;0,4431;0,4367;0,4238;0,4552;0,43965;0,4241;0,4251;0,4262;0,4273;0,4092;0,3883;0,4232;0,42386;0,42452;0,42518;0,42584;0,4265;0,3356;0,3861;0,3911;0,3813;0,3765;0,37385;0,3712;0,36855;0,3659;0,36325;0,3606;0,35795;0,3553;0,35265;0,35;0,349;0,348;0,347;0,346;0,345;0,344;0,343;0,342;0,341;0,34;0,338;0,336;0,334;0,332;0,33;0,328;0,326;0,324;0,322;0,32;0,319;0,318;0,317;0,316;0,315;0,314;0,313;0,312;0,311;0,31;0,309;0,308;0,307;0,306;0,305;0,304;0,303;0,302;0,301;0,3;0,292072072072072;0,284144144144144;0,276216216216216;0,268288288288288;0,26036036036036;0,252432432432432;0,244504504504504;0,236576576576576;0,228648648648649;0,220720720720721;0,212792792792793;0,204864864864865;0,196936936936937;0,189009009009009;0,181081081081081;0,173153153153153;0,165225225225225;0,157297297297297;0,149369369369369;0,141441441441441;0,133513513513513;0,125585585585585;0,117657657657657;0,10972972972973;0,101801801801802;0,0938738738738737;0,0859459459459458;0,0780180180180178;0,0700900900900899;0,062162162162162;0,054234234234234;0,0463063063063061;0,0383783783783782;0,0304504504504503;0,0225225225225223;0,0145945945945944;0,00666666666666646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,17
